1. A) Мухамеджан Сералин B) Ахмет Байтурсынов C) Миржакып Дулатов D) Алихан Букейханов | A
37. A) Война с Россией B) Джут, массовый падеж скота, грабежи казаков C) Нашествие джунгар D) Эпидемия чумы | B
38. A) Провозглашение Нуралы ханом B) Отстранение Нуралы от престола C) Заключение мира с Россией D) Объявление войны джунгарам | B
39. A) Убийство Абулхаира B) Захват крепости C) Убийство хана Есима D) Подписание договора | C
40. A) О запрете кочевания B) О налогах C) О кочевании между Уралом и Волгой D) О военной службе | C
41. A) Акмолинск, Уральск, Кокшетау B) Жулек, Жанакорган, Турсунбай C) Семипалатинск, Павлодар, Усть-Каменогорск D) Туркестан, Отрар, Сайрам | B
42. A) Актау B) Кувандарья C) Бескала D) Арал | C
43. A) Казалинск B) Перовск C) Райм D) Аральск | C
44. A) Петербургский договор B) Московский договор C) Пекинский договор D) Алматинский договор | C
45. A) Чимкент B) Туркестан C) Аулие-Ата D) Ташкент | C
46. A) Королевская комиссия B) Степная комиссия C) Государственный совет D) Сенатская комиссия | B
47. A) Акмолинская и Семипалатинская области B) Тургайская и Уральская области C) Семиреченская и Сырдарьинская области D) Западно-Казахстанская область | C
48. A) Оренбургское генерал-губернаторство B) Степное генерал-губернаторство C) Туркестанское генерал-губернаторство D) Сибирское генерал-губернаторство | C
49. A) Выборность всех должностей B) Назначение, а не выборы управителей C) Самоуправление D) Ханская власть | B
50. A) Земельная реформа B) Налоговая реформа C) Введение Временного положения 1868 года D) Отмена крепостного права | C
51. A) Транссибирская магистраль B) Оренбургская (Самара-Оренбург) C) Туркестано-Сибирская D) Семипалатинская | B
52. A) Нефтеперерабатывающий завод B) Металлургический комбинат C) Сантоинный завод D) Текстильная фабрика | C
53. A) Астана B) Семипалатинск C) Омск D) Оренбург | C
54. A) Русские купцы B) Немецкие промышленники C) Англо-французские предприниматели D) Американские инвесторы | C
55. A) Транссибирская B) Семипалатинская C) Оренбургско-Ташкентская D) Карагандинская | C
56. A) Политическая автономия B) Отмена налогов C) Решение аграрного вопроса D) Свобода печати | C
57. A) Карагандинские угольные копи B) Джезказганские медные копи C) Атбасарские медные копи D) Экибастузские угольные копи | C
58. A) Немедленная независимость B) Сохранение самодержавия C) Прекращение переселения, земля казахам D) Присоединение к Туркестану | C
59. A) Около 500 тысяч человек B) Свыше 770 тысяч человек C) Более 1 миллиона человек D) Около 300 тысяч человек | B
60. A) Учебник для школ B) Манифест угнетенного народа C) Сборник сказок D) Исторический роман | B
61. A) Призыв добровольцев в армию B) Мобилизация на тыловые работы C) Налоговая реформа D) Земельная реформа | B
62. A) Семипалатинская область B) Акмолинская область C) Тургайская область (Батпаккара) D) Уральская область | C
63. A) Кенесары Касымов, Исатай Тайманов B) Срым Датов, Жоламан Тленшиулы C) Амангельды Иманов, Абдигапар Жанбосынов, Токаш Бокин D) Алихан Букейханов, Ахмет Байтурсынов | C
64. A) Более 30 млн десятин B) Около 20 млн десятин C) Более 45 млн десятин D) Около 50 млн десятин | C
65. A) Казахские комитеты B) Исполкомы и Советы депутатов C) Ханская власть D) Генерал-губернаторства | B
66. A) Усиление монархистов B) Рост кадетской партии C) Усиление влияния большевиков D) Укрепление меньшевиков | C
67. A) Установление республики B) Переход власти к Советам C) Восстановление монархии D) Созыв Учредительного собрания | B
68. A) Объединение с Россией B) Создание социалистического государства C) Национально-религиозная автономия тюрко-мусульманских народов D) Независимость Туркестана | C
69. A) А. Байтурсынов, М. Дулатов, М. Жумабаев B) А. Букейханов, М. Тынышпаев, М. Шокай C) Т. Рыскулов, С. Сейфуллин, С. Мендешев D) Ж. Досмухамедов, Х. Габбасов, К. Тогусов | B
70. A) Русские организации B) Казачьи организации C) Мусульманские организации D) Социал-демократы | C
71. A) Акмолинская, Семипалатинская, Сырдарьинская области B) Тургайская, Уральская, Семиреченская области C) Западно-Казахстанская, Атырауская области D) Костанайская, Павлодарская области | B
72. A) А. Дутов B) Г.В. Зиновьев C) М.В. Фрунзе D) В.И. Чапаев | B
73. A) Алма-Ата B) Верный C) Оренбург D) Ташкент | C
74. A) Акмолинский, Петропавловский, Атбасарский уезды B) Семипалатинская, Кустанайский, Акмолинский уезды C) Уральская, Тургайская, Кокшетавская области D) Сырдарьинская, Семиреченская области | B
75. A) Индустриализация B) Коллективизация C) Ликвидация безграмотности D) Электрификация | C
76. A) Политика военного коммунизма B) Столыпинская реформа C) НЭП: продразверстка заменена продналогом D) Индустриализация | C
77. A) Создание колхозов B) Проведение земельной реформы C) Борьба с байством D) Ликвидация неграмотности | B
78. A) Создание новых колхозов B) Переселение крестьян C) Возврат изъятых казахских земель D) Национализация земли | C
79. A) Коллективизация сельского хозяйства B) Курс на индустриализацию C) Новая экономическая политика D) Культурная революция | B
80. A) Из Кызыл-Орды в Алма-Ату B) Из Алма-Аты в Астану C) Из Оренбурга в Кзыл-Орду D) Из Ташкента в Оренбург | C
81. A) А. Затаевич B) Ж. Шанин C) К. Байсентова D) А. Кашаубаев | B
82. A) Области, районы, города B) Округа и районы C) Губернии, уезды, волости D) Жузы и аулы | B
83. A) Губернии и области B) Жузы и роды C) Округа и районы вместо губерний и уездов D) Волости и аулы | C
84. A) 1925 год B) 1927 год C) 1929 год D) 1930 год | C
85. A) Казалинский район B) Сузакский район C) Чимкентский район D) Туркестанский район | B
86. A) М. Ауэзов B) К. Байсентова C) А.В. Затаевич D) А. Жубанов | C
87. A) Создание союзной республики B) Преобразование в союзную республику C) Объединение с РСФСР D) Получение автономии | B
88. A) А. Затаевич B) Ж. Шанин C) К. Байсентова D) А. Кашаубаев | C
89. A) Немцы B) Корейцы C) Поляки D) Греки | B
90. A) Начало индустриализации B) Курс на коллективизацию C) Преодоление последствий культа личности D) Освоение целины | C
91. A) Мирные переговоры B) Применение силы (саперные лопаты, собаки) C) Добровольный разгон D) Арест лидеров | B
92. A) Создание новой конституции B) Реабилитация репрессированных, 22 сентября 1989 года C) Объявление независимости D) Экономические реформы | B
93. A) Т. Рыскулов, С. Сейфуллин, Г. Мусрепов B) М. Шокай, М. Тынышпаев, Ж. Досмухамедов C) А. Букейханов, А. Байтурсынов, Ш. Кудайбердыулы, М. Дулатов D) И. Жансугуров, Б. Майлин, С. Муканов | C
94. A) «Азат», М. Шаханов B) «Единство», О. Сулейменов C) «Невада-Семипалатинск», О. Сулейменов D) «Желтоксан», Ж. Мамай | C
95. A) Создание парламента B) Принятие конституции C) Учреждение поста Президента, избран Н.А. Назарбаев D) Объявление независимости | C
96. A) «Отан», «Алаш» B) «Азат», «Единство» C) «Руханият», «Адилет» D) «Социал-демократы», «Коммунисты» | B
97. A) Принятие конституции B) Выборы Президента Н.А. Назарбаева C) Создание СНГ D) Референдум о независимости | B
98. A) 8 республик бывшего СССР B) 11 глав государств бывшего СССР C) 15 республик СССР D) 9 стран СНГ | B
99. A) Принятие конституции B) Закрытие Семипалатинского ядерного полигона C) Введение национальной валюты D) Вступление в ООН | B
100. A) Договор о дружбе B) Соглашение о создании СНГ C) Алма-Атинская декларация D) Беловежское соглашение | B
101. A) 25 октября 1990 года B) 1 декабря 1991 года C) 16 декабря 1991 года D) 21 декабря 1991 года | C
102. A) 104 шахтных установки B) 148 шахтных установок C) 200 шахтных установок D) 85 шахтных установок | B
103. A) 8 декабря 1991 года B) 16 декабря 1991 года C) 21 декабря 1991 года D) 25 декабря 1991 года | C
104. A) ОБСЕ B) НАТО C) ООН D) СНГ | C
105. A) Б.Н. Ельцин B) Н.А. Назарбаев C) М.С. Горбачев D) Л.И. Брежнев | B
106. A) М.С. Горбачев B) Б.Н. Ельцин C) Н.А. Назарбаев D) Л.Д. Кучма | C
107. A) Ирак B) Сирия C) Афганистан D) Иран | C
108. A) Год молодежи B) Год 10-летия Казахстана C) Год культуры D) Год спорта | B
109. A) Далай-лама XIV B) Патриарх Алексий II C) Папа Иоанн Павел II D) Папа Бенедикт XVI | C
110. A) Съезд ООН B) Саммит ОБСЕ C) Первый саммит СВМДА D) Всемирный курултай казахов | C
111. A) Год образования B) Год здоровья C) Год культуры D) Год спорта | B
112. A) Рост военной промышленности B) Увеличение добычи нефти C) Рост перерабатывающей промышленности, рост ВВП на 50% D) Строительство новых городов | C
113. A) Год России в Казахстане B) Год Казахстана в России C) Год дружбы D) Год сотрудничества | B
114. A) «Болашак» B) «Культурное наследие» C) «Рухани жаңғыру» D) «Казахстан 2030» | B
115. A) Развитие демократии B) Экономический рост C) Триединая задача конкурентоспособности D) Социальная справедливость | C
116. A) «Болашак» B) «Рухани жаңғыру» C) «Культурное наследие» D) «Туған жер» | C
117. A) Строительство новых школ B) Восстановление памятников, изучение культурного наследия C) Развитие туризма D) Открытие музеев | B
118. A) Алматы B) Караганда C) Астана (Акмолинская область) D) Павлодар | C
119. A) Развитие сельского хозяйства B) Строительство дорог C) Рост ВВП, перерабатывающей промышленности D) Добыча полезных ископаемых | C
120. A) Алматы, начало Года Казахстана B) Москва, начало Года дружбы C) Астана, начало Года России в Казахстане D) Санкт-Петербург, начало Года культуры | C
121. A) Борьба с коррупцией B) Экономическое развитие C) Ускоренная модернизация D) Социальные реформы | C
122. A) Промышленность, сельское хозяйство, транспорт B) Жилье, образование, здравоохранение C) Наука, культура, спорт D) Армия, полиция, безопасность | B
123. A) Торжественные мероприятия B) Открытие памятника C) Сведения отсутствуют D) Научная конференция | C
124. A) В.В. Бартольд B) С.Г. Кляшторный C) Л.Н. Гумилев D) М.К. Козыбаев | B
125. A) 552 год, объединение племен B) 603 год, разделение на Восточный и Западный C) 630 год, падение каганата D) 576 год, война с Персией | B
126. A) Финансовый кризис B) Национальный вопрос C) Аграрный вопрос D) Промышленная политика | C
127. A) Демократические институты B) Феодальные отношения, система улусов C) Республиканское правление D) Монархическая власть | B
128. A) Казахское ханство, Моголистан B) Сибирское ханство, Узбекское ханство C) Золотая Орда, Ак Орда, Моголистан, Ногайская Орда D) Чагатайский улус, Джучи улус | C
129. A) Петропавловск, Усть-Каменогорск, Павлодар B) Уральск, Оренбург, Семипалатинск C) Алматы, Шымкент, Туркестан D) Актобе, Атырау, Уральск | B
130. A) Аральский, Каспийский промыслы B) Балхашский, Зайсанский промыслы C) Баскунчакский, Эльтонский, Илецкий промыслы D) Семипалатинский, Акмолинский промыслы | C
131. A) Волга B) Иртыш C) Яик (Урал) D) Тобол | C
132. A) Массовое переселение крестьян B) Развитие торговли C) Создание укрепленных линий D) Строительство железных дорог | C
133. A) Асан Кайгы B) Бухар Калкаманулы C) Шал Акын D) Махамбет Утемисов | B
134. A) «Кутадгу билиг» B) «Тарих-и Рашиди» C) «Джамид ат-таварих» D) «Диван лугат ат-тюрк» | C
135. A) Сельское хозяйство B) Легкая промышленность C) Горнодобывающая промышленность D) Машиностроение | C
136. A) III–IV века B) V–VI века C) VII–VIII века D) IX–X века | B
137. A) Уральская и Тургайская B) Семиреченская и Сырдарьинская C) Акмолинская и Семипалатинская D) Западно-Казахстанская и Атырауская | C
138. A) Военный блок в Азии B) Экономический союз C) Создание структуры безопасности в Азии D) Торговая организация | C
139. A) 5 октября 1992 года B) 14 сентября 1999 года C) 4 июня 2002 года D) 24 марта 1995 года | B
140. A) Отрар B) Туркестан C) Сыгнак D) Сайрам | C
141. A) Абулхаир (1428–1468) B) Ерзен и Мубарак-ходжа (1320–1344) C) Урус-хан (1368–1377) D) Барак-хан (1423–1428) | B
142. A) Туркестанский район, род найман B) Уральский район, род кыпчак C) Казалинский район, род асан D) Семипалатинский район, род аргын | C
143. A) Монархическое правление B) Исламское государство C) Равноправие, свобода слова, демократическая федерация D) Социалистическая революция | C
144. A) А. Букейханов и А. Байтурсынов B) М. Шокай и М. Тынышпаев C) Х. и Ж. Досмухамедовы D) С. Сейфуллин и Т. Рыскулов | C
145. A) Туркестанская автономия B) Советская власть в Оренбурге C) А. Дутов, Временное сибирское правительство D) Букеевская орда | C
146. A) Желание создать национальное государство B) Экономические причины C) Отсутствие власти, угроза гражданской войны D) Давление со стороны России | C
147. A) 21 декабря 1919 года B) 9 марта 1920 года C) 4 ноября 1919 года D) 26 августа 1920 года | B
148. A) Алматы B) Оренбург C) Семипалатинск D) Верный | C
149. A) Полная национализация B) Военный коммунизм C) Социальное партнерство, демократический аграрный вопрос D) Капиталистическое развитие | C
150. A) А. Букейханов B) М. Тынышпаев C) Ж. Досмухамедов D) Х. Габбасов | C
151. A) Оренбург B) Уральск C) Джамбейты (Уральская область) D) Гурьев | C
152. A) Оренбург, А. Букейханов B) Уральск, М. Шокай C) Джамбейты, Ж. Досмухамедов D) Семипалатинск, М. Тынышпаев | C
153. A) Изучение географии B) Торговые переговоры C) Сбор материала о пугачевском восстании D) Встреча с казахскими батырами | C
154. A) Беловежское соглашение B) Договор о дружбе C) Протокол о создании СНГ, Алма-Атинская Декларация D) Ташкентское соглашение | C
155. A) Моголистан, Ак Орда, Ногайская Орда B) Чагатайский улус, Золотая Орда C) Казанское, Крымское, Астраханское, Сибирское ханства D) Казахское ханство, Узбекское ханство | C
156. A) XVI–XII века до н.э. B) XX–XVI века до н.э. C) XVIII–XIV века до н.э. D) XIV–X века до н.э. | C
157. A) Платить дань Китаю B) Принять христианство C) Служить верно и платить ясак D) Переселиться в Россию | C
158. A) Чирик-Рабат, сырдарьинское Семиречье B) Берел, восточное Семиречье C) Тагискен, сырдарьинское Приаралье D) Иссык, северное Семиречье | C
159. A) Железный век и средневековье B) Эпоха бронзы и саков C) Палеолит и неолит D) Тюркский период | B
160. A) Поэт, переводчик B) Историк, философ C) Лингвист, педагог, автор учебников D) Журналист, писатель | C
161. A) «Айкап» (1911–1915) B) «Қазақ» (1913–1918) C) «Алаш» (1917–1918) D) «Сары арқа» (1920–1922) | B
162. A) «Маса» B) Не указано C) «Оян, қазақ!» D) «Әдебиет» | B
163. A) Революция 1905 года B) Столыпинская реформа C) Семипалатинский съезд 1906 года D) Первая мировая война | C
164. A) 55 год до н.э., восточные и западные B) 47 год до н.э., южные и северные C) 39 год до н.э., северные и центральные D) 51 год до н.э., западные и южные | B
165. A) Гунны B) Саки C) Усуни D) Кангюй | B
166. A) Саки и гунны B) Усуни и кангюй C) Кыпчаки и огузы D) Карлуки и тюргеши | B
167. A) От Алтая до Байкала B) От Семиречья до Волги C) От Каратау до Гиндукуша D) От Иртыша до Арала | C
168. A) Суяб B) Мингбулак C) Баласагун D) Тараз | B
169. A) Западно-Казахстанская, Атырауская, Мангистауская губернии B) Уральская, Тургайская, Акмолинская губернии C) Астраханская, Саратовская, Оренбургская губернии D) Семипалатинская, Павлодарская, Восточно-Казахстанская губернии | C
170. A) Исседоны B) Даи C) Массагеты D) Сакараулы | C
171. A) Аттила B) Чжичжи C) Модэ D) Хуханье | C
172. A) Сотенная система B) Тысячная система C) Десятичная система D) Родовая система | C
173. A) От Алтая до Тянь-Шаня B) От Монголии до Средней Азии C) От Забайкалья до Хуанхэ D) От Байкала до Арала | C
174. A) Индоевропейская семья B) Уральская семья C) Алтайская языковая семья D) Семитская семья | C
175. A) Полихромный стиль B) Звериный стиль C) Геометрический стиль D) Растительный стиль | B
176. A) 16 декабря 1991 года в Алматы B) 29–30 сентября 1992 года в Алматы C) 1 декабря 1991 года в Астане D) 24 марта 1995 года в Алматы | B
177. A) 16 декабря 1991 года B) 25 октября 1990 года C) 28 января 1993 года D) 30 августа 1995 года | C
178. A) 15 ноября 1993 года B) 16 декабря 1991 года C) 12 ноября 1993 года D) 1 января 1994 года | C
179. A) Ш. Уалиханов, А. Букейханов B) В. Томсен, В.В. Радлов C) А. Байтурсынов, М. Дулатов D) К. Сатпаев, А. Маргулан | B
180. A) Ш. Ниязбеков, Ж. Нажимеденов B) Ж. Малибеков, Ш. Валиханов C) О. Сулейменов, М. Шаханов D) Н. Назарбаев, Д. Кунаев | B
181. A) Исатай Тайманов, Махамбет Утемисов B) Кенесары Касымов, Наурызбай батыр C) Сеил Туркебаев, Беркин Оспанов, Срым Датов D) Жанкожа Нурмухамедов, Есет Котибаров | C
182. A) Арабское письмо B) Китайская иероглифика C) Руноподобное алфавитное письмо D) Греческий алфавит | C
183. A) Сыгнак B) Отрар C) Туркестан D) Сайрам | C
184. A) Два разногласия: экономика, культура B) Одно разногласие: автономия C) Три разногласия: автономия, религия, аграрный вопрос D) Четыре разногласия: власть, земля, религия, образование | C
185. A) Призывали к вооруженному восстанию B) Поддерживали правительство C) Призывали не сопротивляться властям D) Организовывали партизанские отряды | C
186. A) 1 марта 1906 года, рабочий вопрос B) 9 июля 1906 года, аграрный вопрос C) 3 июня 1907 года, национальный вопрос D) 20 февраля 1907 года, конституционный вопрос | B
187. A) Том о Сибири B) Том о Средней Азии C) XVIII том о казахских землях D) Том о Дальнем Востоке | C
188. A) Социал-демократическая партия B) Эсеры C) Конституционно-демократическая партия (кадеты) D) Трудовики | C
189. A) Самарканд, Бухара, Хива B) Сыгнак, Отрар, Сауран, Ясы, Сайрам C) Ташкент, Коканд, Андижан D) Мерв, Балх, Герат | B
190. A) «Тарих-и Рашиди» B) «Кутадгу билиг» C) «Джамид ат-таварих» D) «Диван лугат ат-тюрк» | C
191. A) Орды B) Жузы C) Улусы D) Ханства | C
192. A) 1845 год, захват кокандских крепостей B) 1837 год, начало восстания C) 1856 год, осада Казалинского форпоста D) 1858 год, взятие Аулие-Аты | C
193. A) Ш. Ниязбеков, О. Сулейменов B) Ж. Нажимеденов, Н. Назарбаев C) М. Ауэзов, Г. Мусрепов D) А. Байтурсынов, М. Жумабаев | B
194. A) Декабрь 1991 года B) Июнь 2004 года C) Январь 2006 года D) Август 2007 года | C
195. A) Экономический кризис B) Национальные противоречия C) Снятие Д.А. Кунаева, назначение Г.В. Колбина D) Студенческие протесты | C
196. A) Экономические реформы B) Культурное возрождение C) Катализатор демократизации D) Усиление власти | C
197. A) Налоговая политика B) Изъятие земель для Ново-Илецкой линии C) Запрет торговли D) Принудительная оседлость | B
198. A) Заключение союза с Россией B) Война с джунгарами C) Объединение родов Младшего жуза D) Создание ханства | C
199. A) Орбулакская битва, Анракайская битва B) Битва при Буланты, Аныракайская битва C) Сражение у Отрара, битва при Таласе D) Битва на Калке, Куликовская битва | B
200. A) Туркестан, весна 1711 года B) Ташкент, лето 1710 года C) Каракумы, осень 1710 года D) Отрар, зима 1709 года | C
201. A) Введение колхозов B) Национализация земли C) Замена продразверстки продналогом D) Индустриализация | C
202. A) Запрет частной собственности B) Национализация промышленности C) Свобода торговли, аренда земли D) Создание совхозов | C
203. A) Политические права B) Увеличение зарплаты, улучшение условий C) Сокращение рабочего дня D) Отмена штрафов | B
204. A) Создание новых законов B) Развитие торговли C) Упразднение ханской власти D) Введение налогов | C
205. A) Карагандинский металлургический комбинат B) Актюбинский ферросплавный завод C) Чимкентский, Балхашский, Ачисайский комбинаты D) Павлодарский тракторный завод | C
206. A) Отсутствие квалифицированных кадров B) Низкая производительность C) Сырьевая направленность D) Слабая инфраструктура | C
207. A) 15 августа 1837 года, у реки Иргиз B) 12 июля 1838 года, Акбулак C) 20 сентября 1839 года, у Каспия D) 5 мая 1840 года, в Оренбургской степи | B
208. A) Татарами B) Узбеками (озбеками) C) Казахами D) Ногайцами | B
209. A) 530 год до н.э. B) 512 год до н.э. C) 519 год до н.э. D) 525 год до н.э. | C
210. A) Суяб B) Отрар C) Баласагун D) Тараз | C
211. A) Июль 1840 года B) Декабрь 1842 года C) Сентябрь 1841 года D) Март 1843 года | C
212. A) Взятие Акмолинска B) Разгром отряда Жанторина C) Захват Кокандских крепостей D) Осада Сузака | B
213. A) Европейская тактика, артиллерия B) Партизанская война, засады C) Десятичная система, военная разведка D) Конница, лучники | C
214. A) Абулхаир, Касым B) Тауке, Аблай C) Коныркулжа Кудаймедин, Жанторины, Айшуаковы D) Барак, Джанибек | C
215. A) Поддержка России B) Война с Кокандом C) Охватило все жузы, восстановлена ханская власть D) Только Средний жуз | C
216. A) Оренбург, Уральск, Гурьев B) Акмолинск, Сузак, Яныкурган, Ак-Мечеть C) Семипалатинск, Павлодар, Усть-Каменогорск D) Петропавловск, Кокшетау, Атбасар | B
217. A) Пленение русскими B) Смерть от болезни C) Гибель в апреле 1847 года D) Предательство союзников | C
218. A) До 30 тыс. воинов, сотенная система B) До 20 тыс. жигитов, десятичная система C) До 50 тыс. воинов, родовая система D) До 10 тыс. жигитов, тысячная система | B
219. A) Харадж и джизья B) Закят и садака C) Зякет и ушур D) Ясак и калым | C
220. A) Оренбург, 15 октября 1917 года B) Ташкент, 1 ноября 1917 года C) Перовск, 30 октября 1917 года D) Алма-Ата, 5 ноября 1917 года | C
221. A) 19 марта 1918 года B) 26 декабря 1919 года C) 1 сентября 1921 года D) 15 августа 1920 года | B
222. A) «Декрет о власти», «Декрет о промышленности» B) «Декрет о мире», «Декрет о земле» C) «Декрет о национализации», «Декрет о банках» D) «Декрет о церкви», «Декрет о суде» | B
223. A) Национализация банков B) Военная мобилизация C) Декреты о мире, земле, правах народов D) Роспуск Учредительного собрания | C
224. A) Временное правительство B) Белогвардейцы и эсеры C) А. Дутов, В. Толстов, чехословацкий корпус D) Алаш-Орда | C
225. A) Спор о наследстве B) Религиозные разногласия C) Отказ наказать Кобланды-батыра за убийство Акжол-бия D) Борьба за власть | C
226. A) IX век, ислам B) 1007 год, несторианское христианство C) XI век, буддизм D) XII век, католичество | B
227. A) Огузское государство B) Караханидское государство C) Кыпчакское ханство (Дешт-и Кыпчак) D) Карлукский каганат | C
228. A) «Устав о сибирских киргизах» (1822) B) «Положение об управлении» (1891) C) «Устав об оренбургских киргизах» (1824) D) Реформы Игельстрома (1786) | C
229. A) Аулие-Ата (4 июня 1864 г.) B) Чимкент (28 сентября 1864 г.) C) Узын-Агач (19–21 октября 1860 г.) D) Ташкент (15 июня 1865 г.) | C
230. A) Ташкент B) Алма-Ата C) Оренбург D) Кызыл-Орда | C
231. A) Сырдарьинская, Семиреченская, Жетысуская области B) Семипалатинская, Акмолинская, Тургайская, Уральская области C) Западно-Казахстанская, Атырауская, Мангистауская области D) Павлодарская, Карагандинская, Костанайская области | B
232. A) 16 декабря 1991 года B) 25 октября 1990 года C) 26 августа 1920 года D) 5 декабря 1936 года | C
233. A) И.В. Сталин, Г.К. Орджоникидзе B) Л.Д. Троцкий, Л.Б. Каменев C) М.И. Калинин, В.И. Ленин D) Ф.Э. Дзержинский, Я.М. Свердлов | C
234. A) Копье и щит B) Сабля и лук C) Меч и топор D) Кинжал и арбалет | B
235. A) Степлаг, ГУЛАГ B) Карлаг, «Алжир» C) Акмолаг, Жезказганлаг D) Камышлаг, Кингир | B
236. A) Конец XVIII века B) Начало XIX века C) Середина XIX века D) Конец XIX века | C
237. A) Национальный вопрос B) Промышленная политика C) Аграрный вопрос D) Военные реформы | C
238. A) Создание автономии B) Восстановление ханской власти C) Первая попытка национально-государственного устройства D) Присоединение к России | C
239. A) А.Х. Маргулан B) Ш.Ш. Уалиханов C) К.И. Сатпаев D) М.О. Ауэзов | C
240. A) 16 декабря 1991 года B) 28 января 1993 года C) 25 октября 1990 года D) 1 декабря 1991 года | C
241. A) ВЧК B) НКВД C) ГКЧП D) КГБ | C
242. A) Семипалатинск, 1895 год, С. Сейфуллин B) Павлодар, 1897 год, И. Джансугуров C) Атбасар, 1896 год, А.Д. Ушаков D) Караганда, 1898 год, А. Иманов | C
243. A) Акмолинский, семипалатинский, тургайский регионы B) Западно-казахстанский, атырауский, мангистауский регионы C) Оренбургский, уральский, семиреченский регионы D) Сырдарьинский, жетысуский, алматинский регионы | C
244. A) Карагандинский металлургический комбинат B) Актюбинский ферросплавный завод C) Туркестано-Сибирская железная дорога (Турксиб) D) Экибастузская ГРЭС | C
245. A) Генетический и археологический B) Лингвистический и антропологический C) Исторический и культурный D) Географический и этнографический | B
246. A) Семиречье, долина Или B) Долины Чу и Козы-Баши C) Сырдарья, Отрар D) Туркестан, Сайрам | B
247. A) «Джамид ат-таварих» B) «Кутадгу билиг» C) «Тарих-и Рашиди» D) «Бабур-наме» | C
248. A) После Куликовской битвы B) После завоевания Сибири C) После присоединения Казани и Астрахани D) После основания Петербурга | C
249. A) Саммит ОБСЕ B) Олимпийские игры C) Антитеррористическая коалиция D) Экспо-2017 | C
